Angle_deg,Level_linear,Level_dB
-180.000,0.27949260,-11.0726
-175.000,0.24112541,-12.3551
-170.000,0.13235606,-17.5651
-165.000,0.05688317,-24.9003
-160.000,0.25532127,-11.8583
-155.000,0.47667804,-6.4355
-150.000,0.68480053,-3.2887
-145.000,0.85366735,-1.3742
-140.000,0.96298613,-0.3276
-135.000,1.00000000,-0.0000
-130.000,0.96071492,-0.3481
-125.000,0.84991610,-1.4125
-120.000,0.68075344,-3.3402
-115.000,0.47335980,-6.4962
-110.000,0.25344239,-11.9224
-105.000,0.05849057,-24.6583
-100.000,0.13405648,-17.4542
-95.000,0.24173266,-12.3333
-90.000,0.27949260,-11.0726
-85.000,0.24112541,-12.3551
-80.000,0.13235606,-17.5651
-75.000,0.05688317,-24.9003
-70.000,0.25532127,-11.8583
-65.000,0.47667804,-6.4355
-60.000,0.68480053,-3.2887
-55.000,0.85366735,-1.3742
-50.000,0.96298613,-0.3276
-45.000,1.00000000,0.0000
-40.000,0.96071492,-0.3481
-35.000,0.84991610,-1.4125
-30.000,0.68075344,-3.3402
-25.000,0.47335980,-6.4962
-20.000,0.25344239,-11.9224
-15.000,0.05849057,-24.6583
-10.000,0.13405648,-17.4542
-5.000,0.24173266,-12.3333
0.000,0.27949260,-11.0726
5.000,0.24112541,-12.3551
10.000,0.13235606,-17.5651
15.000,0.05688317,-24.9003
20.000,0.25532127,-11.8583
25.000,0.47667804,-6.4355
30.000,0.68480053,-3.2887
35.000,0.85366735,-1.3742
40.000,0.96298613,-0.3276
45.000,1.00000000,-0.0000
50.000,0.96071492,-0.3481
55.000,0.84991610,-1.4125
60.000,0.68075344,-3.3402
65.000,0.47335980,-6.4962
70.000,0.25344239,-11.9224
75.000,0.05849057,-24.6583
80.000,0.13405648,-17.4542
85.000,0.24173266,-12.3333
90.000,0.27949260,-11.0726
95.000,0.24112541,-12.3551
100.000,0.13235606,-17.5651
105.000,0.05688317,-24.9003
110.000,0.25532127,-11.8583
115.000,0.47667804,-6.4355
120.000,0.68480053,-3.2887
125.000,0.85366735,-1.3742
130.000,0.96298613,-0.3276
135.000,1.00000000,-0.0000
140.000,0.96071492,-0.3481
145.000,0.84991610,-1.4125
150.000,0.68075344,-3.3402
155.000,0.47335980,-6.4962
160.000,0.25344239,-11.9224
165.000,0.05849057,-24.6583
170.000,0.13405648,-17.4542
175.000,0.24173266,-12.3333
