Ang [deg],Valor [dB]
-180.0,-2.2383726321549675
-175.0,-2.407022968047029
-170.0,-2.7542754591507395
-165.0,-2.873126064974027
-160.0,-2.4917937157524954
-155.0,-1.7844911430817947
-150.0,-1.0673954082069246
-145.0,-0.5006261454626211
-140.0,-0.1370010644274355
-135.0,0.0
-130.0,-0.10419769839326394
-125.0,-0.45661477284399543
-120.0,-1.0447822842331558
-115.0,-1.8053867179345429
-110.0,-2.548537196978632
-105.0,-2.9317540955237797
-100.0,-2.787430925188138
-95.0,-2.417634176239453
-90.0,-2.2383726321549675
-85.0,-2.407022968047029
-80.0,-2.7542754591507386
-75.0,-2.8731260649740253
-70.0,-2.4917937157524945
-65.0,-1.7844911430817962
-60.0,-1.0673954082069226
-55.0,-0.5006261454626191
-50.0,-0.13700106442743648
-45.0,0.0
-40.0,-0.10419769839326491
-35.0,-0.45661477284399343
-30.0,-1.0447822842331524
-25.0,-1.8053867179345429
-20.0,-2.548537196978632
-15.0,-2.9317540955237797
-10.0,-2.787430925188139
-5.0,-2.417634176239453
0.0,-2.2383726321549675
5.0,-2.407022968047028
10.0,-2.7542754591507412
15.0,-2.8731260649740253
20.0,-2.4917937157524954
25.0,-1.7844911430817925
30.0,-1.0673954082069226
35.0,-0.5006261454626191
40.0,-0.13700106442743648
45.0,0.0
50.0,-0.10419769839326394
55.0,-0.45661477284399343
60.0,-1.0447822842331504
65.0,-1.8053867179345393
70.0,-2.548537196978632
75.0,-2.931754095523778
80.0,-2.787430925188139
85.0,-2.417634176239453
90.0,-2.2383726321549675
95.0,-2.407022968047028
100.0,-2.7542754591507395
105.0,-2.8731260649740253
110.0,-2.4917937157524985
115.0,-1.7844911430817985
120.0,-1.0673954082069246
125.0,-0.5006261454626191
130.0,-0.13700106442743648
135.0,0.0
140.0,-0.104197698393262
145.0,-0.4566147728439965
150.0,-1.0447822842331504
155.0,-1.8053867179345415
160.0,-2.548537196978632
165.0,-2.9317540955237797
170.0,-2.787430925188135
175.0,-2.417634176239453
